      0
0     0
1     0
2     0
3     0
4     0
5     0
6     0
7     0
8     0
9     1
10    1
11    0
12    0
13    1
14    0
15    0
16    0
17    0
18    0
19    1
20    0
21    0
22    0
23    0
24    0
25    0
26    0
27    1
28    0
29    0
...  ..
3270  0
3271  0
3272  0
3273  0
3274  1
3275  0
3276  0
3277  0
3278  0
3279  0
3280  0
3281  0
3282  1
3283  0
3284  0
3285  0
3286  0
3287  0
3288  1
3289  0
3290  0
3291  0
3292  0
3293  0
3294  0
3295  0
3296  0
3297  0
3298  0
3299  0

[3300 rows x 1 columns]
